dcid,sentence
Farm,Farm; An area of land and its buildings used for growing crops and rearing animals.
FarmInventory,Farm Inventory; Something grown or produced on a farm.
marketValue,market Value
farmSize,farm Size
valueOfSales,value Of Sales
farmType,farm Type
landCoverType,"land Cover Type; Identifies the type of physical material that is at the surface of the earth."",""A categorical classification of the Earth's surface used by the model to define land-surface properties and surface-atmosphere interactions."
governmentPaymentStatus,government Payment Status
incomeStatus,"income Status; Describes whether a person has income or not, over a given period, usually in the previous 12 months."
expenses,expenses
farmInventoryType,farm Inventory Type
quantitySold,quantity Sold
farmInventoryStatus,farm Inventory Status
ownershipStatus,ownership Status
FarmTypeEnum,Farm Type Enum
Cropland,Cropland
HarvestedCropland,Harvested Cropland
IrrigatedLand,Irrigated Land
ArableLand,Arable Land
GovernmentPaymentStatusEnum,Government Payment Status Enum
GovernmentPayment,Government Payment
IncomePaymentStatusEnum,Income Payment Status Enum
ReportedIncome,Reported Income
ReportedNetIncome,Reported Net Income
IncomeMeasurementEnum,Income Measurement Enum
NetMeasure,Net Measure
FarmInventoryTypeEnum,Farm Inventory Type Enum
LandAndBuildings,Land And Buildings
MachineryAndEquipment,Machinery And Equipment
AgriculturalProducts,Agricultural Products
LivestockAndPoultry,Livestock And Poultry
CattleAndCalves,Cattle And Calves
BeefCows,Beef Cows
MilkCows,Milk Cows
HogsAndPigs,Hogs And Pigs
SheepAndLambs,Sheep And Lambs
Layers,Layers
Broilers,Broilers
Crops,Crops
Corn,Corn
CornForGrain,Corn For Grain
CornForSilageOrGreenchop,Corn For Silage Or Greenchop
WheatForGrain,Wheat For Grain
DurumWheatForGrain,Durum Wheat For Grain
OtherSpringWheatForGrain,Other Spring Wheat For Grain
WinterWheatForGrain,Winter Wheat For Grain
OatsForGrain,Oats For Grain
BarleyForGrain,Barley For Grain
SorghumForGrain,Sorghum For Grain
SorghumForSilageOrGreenchop,Sorghum For Silage Or Greenchop
DryEdibleBeans,Dry Edible Beans
Cotton,Cotton
UplandCotton,Upland Cotton
PimaCotton,Pima Cotton
Forage,Forage
Rice,Rice
SunflowerSeed,Sunflower Seed
SugarbeetsForSugar,Sugarbeets For Sugar
PeanutsForNuts,Peanuts For Nuts
VegetablesHarvestedForSale,Vegetables Harvested For Sale
Potatoes,Potatoes
SweetPotatoes,Sweet Potatoes
Orchards,Orchards
Bean,Bean
Cassava,Cassava
Cocoyam,Cocoyam
Peanut,"Ground Nut"",""Peanut"
GuineaCorn,Guinea Corn
Melon,Melon
Millet,Millet
Yam,Yam
Maize,Maize
Flaxseed,Flaxseed
Grain,Grain
Rapeseed,Rapeseed
Rye,Rye
WheatExcludingDurum,Wheat Excluding Durum
Cereal,Cereal
Fertilizer,Fertilizer
Tractor,Tractor
FarmInventoryStatusEnum,Farm Inventory Status Enum
InventorySold,Inventory Sold
OwnershipStatusEnum,Ownership Status Enum
Producer,Producer
PrimaryProducer,Primary Producer
Wheat,Wheat
BLSItem/SEAB,Boys' apparel
BLSItem/SETA02,Used cars and trucks
BLSItem/SEAE03,Women's footwear
BLSItem/SEHF01,Electricity
BLSItem/SEFC,Beef and veal
BLSItem/SASL2RS,Services less rent of shelter
BLSItem/SANL1,Nondurables less food
BLSItem/SS02021,Bread other than white
BLSItem/SS20052,Wine away from home
BLSItem/SEEC,Postage and delivery services
BLSItem/SS62053,Pet services
BLSItem/SS04012,Breakfast sausage and related products
BLSItem/SEFP02,Other beverage materials including tea
BLSItem/SEHC01,Owners' equivalent rent of primary residence
BLSItem/SAM2,Medical care services
